,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
13000,-121.26,38.67,18.0,1830.0,313.0,905.0,361.0,4.2273,141800.0,INLAND
13001,-121.27,38.67,16.0,3185.0,886.0,1550.0,802.0,2.5199,149000.0,INLAND
13002,-121.26,38.66,8.0,1145.0,241.0,447.0,216.0,4.0781,124300.0,INLAND
13003,-121.27,38.67,15.0,2116.0,524.0,866.0,519.0,2.7388,111600.0,INLAND
13004,-121.27,38.67,15.0,1701.0,346.0,723.0,352.0,3.8906,128700.0,INLAND
13005,-121.28,38.68,16.0,3467.0,615.0,1478.0,601.0,3.75,147300.0,INLAND
13006,-121.28,38.67,23.0,1727.0,264.0,833.0,258.0,5.4797,160000.0,INLAND
13007,-121.28,38.67,29.0,1087.0,174.0,430.0,174.0,4.3625,158800.0,INLAND
13008,-121.29,38.68,20.0,1881.0,378.0,921.0,360.0,1.8589,144000.0,INLAND
13009,-121.29,38.67,20.0,1992.0,363.0,889.0,346.0,3.6516,130500.0,INLAND
13010,-121.25,38.72,15.0,6838.0,941.0,3166.0,926.0,5.2177,162700.0,INLAND
13011,-121.27,38.71,16.0,4082.0,666.0,1912.0,652.0,4.4609,142900.0,INLAND
13012,-121.25,38.71,14.0,3713.0,637.0,1845.0,635.0,4.3009,143400.0,INLAND
13013,-121.26,38.7,9.0,7812.0,1348.0,3275.0,1178.0,4.3826,146600.0,INLAND
13014,-121.17,38.69,5.0,7138.0,1227.0,2623.0,1139.0,5.6902,243200.0,INLAND
13015,-121.19,38.71,11.0,4415.0,,1520.0,627.0,3.2321,390800.0,INLAND
13016,-121.18,38.69,7.0,7104.0,970.0,2772.0,920.0,6.3528,274500.0,INLAND
13017,-121.2,38.7,28.0,2970.0,471.0,1379.0,463.0,4.3214,131700.0,INLAND
13018,-121.2,38.69,26.0,3077.0,607.0,1603.0,595.0,2.7174,137500.0,INLAND
13019,-121.22,38.68,10.0,6262.0,1278.0,2954.0,1169.0,3.4506,139000.0,INLAND
13020,-121.22,38.71,23.0,1843.0,273.0,818.0,276.0,4.4695,214700.0,INLAND
13021,-121.23,38.71,18.0,4947.0,714.0,2227.0,675.0,4.8542,170500.0,INLAND
13022,-121.23,38.69,19.0,5268.0,849.0,2357.0,849.0,3.9226,148700.0,INLAND
13023,-121.23,38.67,27.0,5266.0,971.0,2432.0,948.0,3.8954,133000.0,INLAND
13024,-121.24,38.67,28.0,3558.0,589.0,1742.0,581.0,4.0182,131700.0,INLAND
13025,-121.2,38.68,9.0,2200.0,422.0,938.0,369.0,3.4896,143800.0,INLAND
13026,-121.21,38.67,11.0,5500.0,956.0,2827.0,946.0,4.1071,145800.0,INLAND
13027,-121.22,38.67,20.0,1412.0,226.0,700.0,227.0,4.05,130700.0,INLAND
13028,-121.21,38.67,19.0,2987.0,626.0,1610.0,605.0,3.0533,112100.0,INLAND
13029,-121.19,38.67,16.0,1754.0,284.0,773.0,277.0,4.817,147000.0,INLAND
13030,-121.2,38.67,26.0,1546.0,287.0,773.0,299.0,2.9803,115400.0,INLAND
13031,-121.2,38.67,10.0,3875.0,668.0,1632.0,593.0,4.6902,171000.0,INLAND
13032,-121.19,38.66,26.0,1937.0,286.0,769.0,274.0,6.1185,179200.0,INLAND
13033,-121.2,38.66,17.0,1605.0,217.0,732.0,241.0,5.47,204800.0,INLAND
13034,-121.15,38.69,52.0,240.0,44.0,6675.0,29.0,6.1359,225000.0,INLAND
13035,-121.17,38.71,15.0,3084.0,557.0,1040.0,562.0,2.5183,293300.0,INLAND
13036,-121.17,38.68,37.0,1252.0,267.0,686.0,256.0,3.0,121900.0,INLAND
13037,-121.18,38.67,42.0,2101.0,480.0,945.0,426.0,2.3333,116000.0,INLAND
13038,-121.16,38.67,21.0,6198.0,1223.0,2827.0,1179.0,3.7796,159000.0,INLAND
13039,-121.15,38.68,6.0,9798.0,1551.0,4583.0,1494.0,5.0159,189600.0,INLAND
13040,-121.16,38.68,21.0,3517.0,667.0,1687.0,655.0,3.1161,131600.0,INLAND
13041,-121.13,38.66,2.0,12360.0,1747.0,4438.0,1470.0,6.2503,222500.0,INLAND
13042,-121.13,38.55,8.0,530.0,109.0,398.0,96.0,4.2031,212500.0,INLAND
13043,-121.06,38.51,6.0,6873.0,959.0,2354.0,931.0,6.8869,263100.0,INLAND
13044,-121.13,38.47,16.0,2574.0,441.0,1041.0,428.0,3.6645,203400.0,INLAND
13045,-121.24,38.63,4.0,11021.0,1565.0,3857.0,1494.0,7.2582,273200.0,INLAND
13046,-121.22,38.58,25.0,394.0,94.0,155.0,83.0,2.233,55000.0,INLAND
13047,-121.28,38.55,35.0,7088.0,1279.0,4885.0,1272.0,2.6981,112500.0,INLAND
13048,-121.31,38.59,35.0,3295.0,560.0,1454.0,536.0,3.1711,101900.0,INLAND
13049,-121.32,38.59,21.0,9774.0,1777.0,4674.0,1712.0,3.6817,136100.0,INLAND
13050,-121.32,38.59,24.0,4378.0,910.0,2149.0,812.0,2.5035,123700.0,INLAND
13051,-121.29,38.61,17.0,13553.0,2474.0,6544.0,2359.0,3.9727,132700.0,INLAND
13052,-121.3,38.61,25.0,2707.0,464.0,1423.0,490.0,4.3235,116900.0,INLAND
13053,-121.3,38.6,32.0,9534.0,1819.0,4951.0,1710.0,3.3926,103400.0,INLAND
13054,-121.27,38.62,13.0,2321.0,539.0,1066.0,497.0,2.7652,95600.0,INLAND
13055,-121.28,38.61,22.0,2938.0,619.0,1501.0,561.0,2.7356,96100.0,INLAND
13056,-121.28,38.61,23.0,2547.0,504.0,1235.0,469.0,2.4722,103300.0,INLAND
13057,-121.29,38.61,26.0,1814.0,299.0,963.0,317.0,4.4519,110500.0,INLAND
13058,-121.27,38.61,17.0,6663.0,1369.0,2840.0,1299.0,2.9452,115600.0,INLAND
13059,-121.28,38.6,25.0,1122.0,198.0,564.0,213.0,3.1654,111600.0,INLAND
13060,-121.28,38.6,17.0,1671.0,378.0,848.0,351.0,3.1194,112500.0,INLAND
13061,-121.29,38.6,29.0,1276.0,225.0,600.0,223.0,4.0938,109100.0,INLAND
13062,-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,127500.0,INLAND
13063,-121.33,38.56,17.0,3608.0,682.0,1694.0,666.0,3.311,109400.0,INLAND
