,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
10000,-121.08,39.02,13.0,1839.0,275.0,752.0,270.0,4.2031,209600.0,INLAND
10001,-121.07,39.05,10.0,1813.0,311.0,827.0,287.0,3.6087,182100.0,INLAND
10002,-121.07,39.04,9.0,2374.0,372.0,884.0,333.0,4.5042,206400.0,INLAND
10003,-121.03,39.05,12.0,1875.0,307.0,806.0,283.0,3.9185,195200.0,INLAND
10004,-121.06,39.04,14.0,1651.0,279.0,633.0,261.0,4.2802,194800.0,INLAND
10005,-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,361900.0,INLAND
10006,-121.06,39.03,11.0,1887.0,303.0,775.0,283.0,3.8417,187200.0,INLAND
10007,-121.22,39.11,14.0,1405.0,269.0,660.0,228.0,3.0804,156800.0,INLAND
10008,-121.19,39.05,14.0,1131.0,193.0,520.0,178.0,3.9,180400.0,INLAND
10009,-121.14,39.1,13.0,1085.0,227.0,629.0,214.0,5.0389,171500.0,INLAND
10010,-121.12,39.2,9.0,1431.0,254.0,681.0,221.0,3.045,170400.0,INLAND
10011,-121.1,39.15,10.0,680.0,143.0,354.0,140.0,4.0333,161500.0,INLAND
10012,-121.08,39.18,19.0,2323.0,397.0,963.0,379.0,3.7426,162700.0,INLAND
10013,-121.18,39.26,14.0,811.0,161.0,352.0,121.0,3.5938,140300.0,INLAND
10014,-121.18,39.25,9.0,3415.0,562.0,1208.0,479.0,4.3646,185900.0,INLAND
10015,-121.2,39.25,5.0,906.0,144.0,376.0,141.0,4.3523,188200.0,INLAND
10016,-121.18,39.23,8.0,2112.0,360.0,782.0,344.0,3.7125,175000.0,INLAND
10017,-121.21,39.24,7.0,4194.0,673.0,1355.0,566.0,4.3702,226100.0,INLAND
10018,-121.2,39.23,9.0,2802.0,447.0,955.0,418.0,5.2359,213300.0,INLAND
10019,-121.18,39.19,16.0,1528.0,351.0,729.0,319.0,2.4688,138800.0,INLAND
10020,-121.16,39.18,14.0,1006.0,187.0,462.0,185.0,3.1042,152000.0,INLAND
10021,-121.25,39.17,9.0,999.0,189.0,411.0,176.0,2.125,151800.0,INLAND
10022,-121.2,39.2,16.0,1039.0,182.0,554.0,184.0,2.9688,128300.0,INLAND
10023,-121.15,39.23,13.0,3883.0,763.0,1816.0,682.0,2.8102,144400.0,INLAND
10024,-121.24,39.22,14.0,983.0,163.0,399.0,161.0,2.2917,145100.0,INLAND
10025,-121.23,39.27,11.0,1265.0,224.0,573.0,205.0,3.3603,162500.0,INLAND
10026,-121.07,39.23,39.0,2099.0,433.0,929.0,423.0,1.9886,113800.0,INLAND
10027,-121.04,39.24,48.0,1188.0,227.0,471.0,219.0,2.3125,125700.0,INLAND
10028,-121.05,39.23,20.0,1634.0,374.0,1053.0,390.0,1.5313,154900.0,INLAND
10029,-121.06,39.23,10.0,2229.0,537.0,982.0,512.0,2.186,132700.0,INLAND
10030,-121.06,39.22,52.0,1749.0,422.0,837.0,391.0,2.325,109700.0,INLAND
10031,-121.09,39.23,35.0,2637.0,511.0,1181.0,480.0,2.7813,109200.0,INLAND
10032,-121.07,39.22,52.0,2432.0,495.0,928.0,435.0,2.425,121100.0,INLAND
10033,-121.08,39.22,30.0,2188.0,,1033.0,437.0,2.1419,105200.0,INLAND
10034,-121.08,39.21,17.0,3033.0,590.0,1319.0,583.0,2.4811,111800.0,INLAND
10035,-121.09,39.22,25.0,2200.0,439.0,1045.0,419.0,2.6042,116700.0,INLAND
