,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
2000,-119.78,36.74,15.0,1461.0,415.0,924.0,356.0,2.5045,90300.0,INLAND
2001,-119.78,36.75,35.0,2114.0,506.0,2050.0,474.0,1.2375,50000.0,INLAND
2002,-119.78,36.75,31.0,1404.0,379.0,1515.0,387.0,1.2813,56400.0,INLAND
2003,-119.79,36.74,35.0,853.0,296.0,1228.0,289.0,1.0513,39600.0,INLAND
2004,-119.79,36.74,52.0,173.0,87.0,401.0,84.0,2.1094,75000.0,INLAND
2005,-119.8,36.74,25.0,1717.0,542.0,1343.0,471.0,0.799,51800.0,INLAND
2006,-119.8,36.75,41.0,1659.0,466.0,1391.0,447.0,1.3527,61200.0,INLAND
2007,-119.79,36.75,33.0,3161.0,934.0,3530.0,846.0,1.123,46700.0,INLAND
2008,-119.82,36.74,52.0,610.0,128.0,406.0,122.0,1.8967,43800.0,INLAND
2009,-119.82,36.72,25.0,2581.0,528.0,1642.0,509.0,1.6435,52600.0,INLAND
2010,-119.82,36.72,17.0,1276.0,242.0,927.0,238.0,2.6176,54100.0,INLAND
2011,-119.83,36.73,21.0,1702.0,358.0,1347.0,316.0,2.4137,62100.0,INLAND
2012,-119.83,36.72,28.0,60.0,10.0,46.0,13.0,4.35,67500.0,INLAND
2013,-119.83,36.71,43.0,355.0,81.0,233.0,75.0,2.4167,73900.0,INLAND
2014,-119.79,36.72,19.0,1719.0,391.0,1369.0,368.0,1.25,53000.0,INLAND
2015,-119.8,36.71,29.0,1541.0,291.0,1007.0,313.0,2.0043,53500.0,INLAND
2016,-119.81,36.71,25.0,1026.0,221.0,789.0,183.0,1.5625,52800.0,INLAND
2017,-119.8,36.72,19.0,1334.0,336.0,1171.0,319.0,1.0481,48500.0,INLAND
2018,-119.8,36.72,15.0,1908.0,417.0,1383.0,375.0,1.0472,57800.0,INLAND
2019,-119.79,36.7,23.0,1731.0,363.0,1210.0,341.0,1.3922,49500.0,INLAND
2020,-119.8,36.7,28.0,1592.0,304.0,962.0,282.0,1.3304,51300.0,INLAND
2021,-119.81,36.7,52.0,314.0,57.0,178.0,66.0,1.2404,52500.0,INLAND
2022,-119.78,36.72,22.0,354.0,121.0,530.0,115.0,2.1458,34400.0,INLAND
2023,-119.79,36.72,41.0,1562.0,322.0,927.0,277.0,1.3047,44100.0,INLAND
2024,-119.78,36.71,35.0,1987.0,394.0,1233.0,383.0,1.3587,45300.0,INLAND
2025,-119.74,36.71,17.0,5872.0,1250.0,5034.0,1224.0,2.1905,61800.0,INLAND
2026,-119.76,36.71,29.0,1745.0,441.0,1530.0,391.0,1.5611,44400.0,INLAND
2027,-119.76,36.72,24.0,1240.0,265.0,1035.0,232.0,2.875,60600.0,INLAND
2028,-119.75,36.71,38.0,1481.0,,1543.0,372.0,1.4577,49800.0,INLAND
2029,-119.74,36.73,34.0,1254.0,272.0,1056.0,279.0,2.3269,50800.0,INLAND
2030,-119.74,36.72,25.0,3972.0,842.0,2863.0,729.0,2.1304,58500.0,INLAND
2031,-119.75,36.72,22.0,3247.0,859.0,4179.0,881.0,1.3343,60800.0,INLAND
2032,-119.76,36.73,46.0,1347.0,282.0,854.0,267.0,1.8723,52600.0,INLAND
2033,-119.76,36.73,39.0,1553.0,363.0,1449.0,341.0,1.4419,45500.0,INLAND
2034,-119.75,36.73,39.0,2290.0,539.0,1685.0,536.0,1.6325,52100.0,INLAND
2035,-119.74,36.73,42.0,1236.0,272.0,946.0,261.0,2.0536,50000.0,INLAND
2036,-119.69,36.75,6.0,1926.0,303.0,965.0,316.0,4.7463,93100.0,INLAND
2037,-119.67,36.74,19.0,2788.0,614.0,1365.0,525.0,2.7813,120300.0,INLAND
2038,-119.69,36.74,17.0,2438.0,598.0,1563.0,538.0,1.5449,62500.0,INLAND
2039,-119.69,36.75,13.0,2343.0,409.0,1347.0,405.0,4.0027,93100.0,INLAND
2040,-119.67,36.73,27.0,2845.0,417.0,1219.0,460.0,4.9196,117900.0,INLAND
